transaction_id,customer_id,customer_name,transaction_date,amount_usd,product
TXN1001,CUST0543,Lee Lopez,2025-02-11,84.13,Tablet
TXN1002,CUST1435,Elizabeth Williams,2025-01-16,170.5,USB-C Cable
TXN1003,CUST1179,Mrs. Diane Carpenter,2025-02-22,596.99,Smartphone
TXN1004,CUST0343,Amanda Cruz,2025-03-16,277.57,Laptop Backpack
TXN1005,CUST0589,Jennifer Jones,2025-04-26,420.9,Desk Lamp
TXN1006,CUST0586,Whitney Rich,2025-04-04,73.23,Wireless Mouse
TXN1007,CUST0788,Nathan Pierce,2025-04-20,50.17,Webcam
TXN1008,CUST0731,Jennifer Adams,2025-02-17,584.87,Mechanical Keyboard
TXN1009,CUST1779,Stephanie Daniels,2025-02-14,565.57,Wireless Charger
TXN1010,CUST0558,Jeremy Cox,2025-01-15,526.38,Portable SSD
TXN1011,CUST1595,Brenda West,2025-01-17,45.25,Smartphone
TXN1012,CUST1747,Jacqueline Gordon,2025-01-04,843.73,Portable SSD
TXN1013,CUST1427,Kenneth Woodard,2025-04-25,407.39,Smartphone
TXN1014,CUST1896,Sarah Parsons,2025-04-23,947.31,Smartphone
TXN1015,CUST1056,Lisa Campbell,2025-04-16,825.33,Portable SSD
TXN1016,CUST0530,James Jones,2025-04-29,968.06,Laptop Stand
TXN1017,CUST1657,John Clark,2025-02-16,659.89,Webcam
TXN1018,CUST0453,Rachel Cook,2025-04-09,619.17,Desk Lamp
TXN1019,CUST1998,Jeffrey Adkins,2025-02-12,46.09,Wireless Charger
TXN1020,CUST0075,Bailey Munoz,2025-01-24,489.86,Bluetooth Speaker
TXN1021,CUST0317,Cameron Carter,2025-04-16,875.27,Mouse Pad
TXN1022,CUST0424,Andrea Ramirez,2025-01-05,872.41,Laptop Stand
TXN1023,CUST1158,Joshua Griffin,2025-01-23,859.46,Tablet
TXN1024,CUST1651,Miguel Maldonado,2025-04-14,810.97,Bluetooth Speaker
TXN1025,CUST0760,Diana Tran,2025-02-07,883.57,Wireless Charger
TXN1026,CUST1134,Michael Campos,2025-02-12,717.73,Mouse Pad
TXN1027,CUST0480,Daniel Smith,2025-01-29,24.71,Smartphone
TXN1028,CUST1069,Mikayla Richardson,2025-04-27,457.33,Mechanical Keyboard
TXN1029,CUST1492,Amanda Johnson,2025-02-15,806.32,Smartwatch
TXN1030,CUST1964,Dr. Pamela Lowe,2025-01-08,986.2,Noise Cancelling Headphones
TXN1031,CUST0444,Andrew Wilkins,2025-02-27,486.02,Mechanical Keyboard
TXN1032,CUST0763,Robert Crane,2025-04-29,243.5,USB-C Cable
TXN1033,CUST1135,Amanda Owens,2025-01-01,224.74,Noise Cancelling Headphones
TXN1034,CUST1613,Laura Tran,2025-01-24,371.27,Laptop Stand
TXN1035,CUST1864,Peter Walter,2025-01-01,964.64,Wireless Mouse
TXN1036,CUST0817,Stephen Weber,2025-02-19,344.01,Noise Cancelling Headphones
TXN1037,CUST0330,Monica Brewer,2025-03-23,933.49,Desk Lamp
TXN1038,CUST1197,David Mccall,2025-03-14,776.5,Mechanical Keyboard
TXN1039,CUST0192,Susan Mills,2025-04-23,660.19,Bluetooth Speaker
TXN1040,CUST1601,Nicole Kim,2025-01-12,131.62,Laptop Backpack
TXN1041,CUST0787,James Davis,2025-04-11,742.2,Bluetooth Speaker
TXN1042,CUST0603,Emily Benson,2025-01-07,456.29,Smartphone
TXN1043,CUST0649,Laura Schultz,2025-01-02,547.14,Bluetooth Speaker
TXN1044,CUST0026,Allison Butler,2025-01-01,810.18,Mouse Pad
TXN1045,CUST0533,Darlene Davenport,2025-03-15,508.41,Desk Lamp
TXN1046,CUST0908,Robert Davis,2025-03-01,344.13,Wireless Mouse
TXN1047,CUST0425,Patrick Chandler,2025-04-14,993.05,Mechanical Keyboard
TXN1048,CUST0509,Brandon Roberts,2025-03-19,917.74,Smartwatch
TXN1049,CUST0185,Jonathan Peterson,2025-03-14,589.9,Laptop Stand
TXN1050,CUST0237,Calvin Morris,2025-03-30,804.44,Noise Cancelling Headphones
TXN1051,CUST1979,Todd Collins,2025-04-25,956.61,Wireless Charger
TXN1052,CUST0348,John Little,2025-04-26,963.13,Mouse Pad
TXN1053,CUST1299,Megan Webster,2025-04-27,590.84,Desk Lamp
TXN1054,CUST1452,Adam Gonzalez,2025-01-04,725.8,Smartwatch
TXN1055,CUST1121,Jay Fowler,2025-01-09,517.82,Laptop Backpack
TXN1056,CUST1408,Brett Gomez,2025-04-01,950.42,Laptop Backpack
TXN1057,CUST0088,Michael Rodriguez,2025-04-11,577.34,Mechanical Keyboard
TXN1058,CUST0813,Leah Kemp,2025-03-21,941.4,Mechanical Keyboard
TXN1059,CUST0003,Bradley Riddle,2025-03-18,842.28,Laptop Backpack
TXN1060,CUST1711,Emma Woodard,2025-04-27,518.36,Bluetooth Speaker
TXN1061,CUST0718,Veronica Garcia,2025-02-02,120.08,Laptop Backpack
TXN1062,CUST1724,Matthew Anthony,2025-02-01,753.2,Smartphone
TXN1063,CUST1424,Luke Williams,2025-02-17,160.71,Smartwatch
TXN1064,CUST0312,Chad Mccann,2025-04-13,652.85,Laptop Backpack
TXN1065,CUST1050,Holly Wilkinson,2025-03-07,527.21,Mouse Pad
TXN1066,CUST0986,Sara Smith,2025-01-28,281.31,Desk Lamp
TXN1067,CUST0798,Theresa Jones,2025-02-09,783.23,Tablet
TXN1068,CUST1735,Jeremy Diaz,2025-04-05,758.84,USB-C Cable
TXN1069,CUST1662,Jacqueline Buckley,2025-04-12,681.03,Bluetooth Speaker
TXN1070,CUST0280,Wayne Brown,2025-02-20,12.77,Laptop Stand
TXN1071,CUST1839,Justin Hardy,2025-03-04,438.01,Noise Cancelling Headphones
TXN1072,CUST0438,David Reid,2025-02-14,315.94,Tablet
TXN1073,CUST0933,Patrick Nelson,2025-01-13,989.97,Mouse Pad
TXN1074,CUST0002,Trevor Preston,2025-03-27,523.53,USB-C Cable
TXN1075,CUST1569,Calvin Chaney,2025-04-02,436.68,Tablet
TXN1076,CUST1649,Julian Elliott,2025-02-07,303.55,Mechanical Keyboard
TXN1077,CUST0086,Christina Jones,2025-04-01,276.55,Desk Lamp
TXN1078,CUST0593,Casey Hill,2025-04-26,846.56,Noise Cancelling Headphones
TXN1079,CUST0080,Johnny Murray,2025-01-28,277.79,Portable SSD
TXN1080,CUST1407,Timothy Garcia,2025-01-23,652.32,USB-C Cable
TXN1081,CUST0652,Jeff Miller,2025-02-27,55.73,USB-C Cable
TXN1082,CUST0779,Donald Mason,2025-03-27,429.42,Mouse Pad
TXN1083,CUST1231,Wesley Walker,2025-01-17,765.15,Wireless Charger
TXN1084,CUST1815,Suzanne Reid,2025-01-03,468.63,Mechanical Keyboard
TXN1085,CUST0129,Christian Lee,2025-04-22,596.19,USB-C Cable
TXN1086,CUST1335,Corey Potter,2025-03-19,844.98,Smartwatch
TXN1087,CUST0748,Lucas Rhodes,2025-01-27,133.93,Desk Lamp
TXN1088,CUST0367,Lauren Jackson,2025-01-10,15.05,Webcam
TXN1089,CUST0453,Joyce Zamora,2025-02-08,922.61,Wireless Mouse
TXN1090,CUST1538,Emily Johnson,2025-04-27,86.26,Wireless Charger
TXN1091,CUST0183,Tristan Miranda,2025-04-25,71.29,Laptop Backpack
TXN1092,CUST0753,Scott Garcia,2025-01-11,463.63,Desk Lamp
TXN1093,CUST0651,Aimee Craig,2025-02-11,617.73,Bluetooth Speaker
TXN1094,CUST1135,Andrew Martin,2025-02-17,916.17,Portable SSD
TXN1095,CUST1179,Pamela Tate,2025-03-13,892.37,Desk Lamp
TXN1096,CUST0252,Jack Russell,2025-04-01,199.02,Webcam
TXN1097,CUST1887,Elizabeth Stout,2025-01-22,938.28,Noise Cancelling Headphones
TXN1098,CUST1637,Rebekah Porter,2025-02-24,632.85,Desk Lamp
TXN1099,CUST0477,Kelsey Thomas,2025-02-19,264.01,Laptop Backpack
TXN1100,CUST0668,Jay Hall DDS,2025-01-24,631.69,Webcam
TXN1101,CUST1896,Thomas Richardson,2025-02-06,543.72,Noise Cancelling Headphones
TXN1102,CUST1325,David Ochoa,2025-01-21,455.44,Portable SSD
TXN1103,CUST1355,Vanessa Hudson,2025-02-27,714.83,Laptop Stand
TXN1104,CUST0855,Thomas Phelps,2025-04-28,625.89,Bluetooth Speaker
TXN1105,CUST1951,Ryan Rojas,2025-02-27,672.56,Smartphone
TXN1106,CUST0681,Cheryl Goodwin,2025-01-09,421.9,Bluetooth Speaker
TXN1107,CUST0823,Alyssa Leonard,2025-02-02,469.18,Desk Lamp
TXN1108,CUST0010,Lisa Campbell,2025-04-25,970.42,Portable SSD
TXN1109,CUST1983,Barry Rivera,2025-03-10,86.82,Webcam
TXN1110,CUST0217,Keith Pitts,2025-04-18,370.24,Laptop Stand
TXN1111,CUST1793,Brad White,2025-03-01,546.83,Smartwatch
TXN1112,CUST0021,Jason Campbell,2025-03-18,238.5,Smartphone
TXN1113,CUST0907,Chelsea Mcfarland,2025-02-16,757.91,Desk Lamp
TXN1114,CUST1959,Melody Henry,2025-01-08,409.3,Webcam
TXN1115,CUST1660,Andrea Lyons,2025-02-27,713.02,Laptop Stand
TXN1116,CUST1704,Paula Hess,2025-02-07,398.67,Smartwatch
TXN1117,CUST1747,Dr. Matthew Padilla,2025-01-08,891.29,Portable SSD
TXN1118,CUST0215,Larry Rich,2025-03-29,695.22,Smartphone
TXN1119,CUST1760,John Brown,2025-02-20,341.69,Tablet
TXN1120,CUST1502,Mary Hampton,2025-04-06,73.72,Wireless Mouse
TXN1121,CUST1036,Mr. Justin Lee,2025-03-15,332.3,Bluetooth Speaker
TXN1122,CUST0426,Shelby Phillips,2025-04-05,736.11,Wireless Mouse
TXN1123,CUST1177,Danielle Harris,2025-03-13,514.06,Wireless Charger
TXN1124,CUST1486,David Porter,2025-04-16,494.44,Noise Cancelling Headphones
TXN1125,CUST0615,Rachael Marquez,2025-03-22,109.44,Smartwatch
TXN1126,CUST0287,Steven Mitchell,2025-03-26,102.4,Desk Lamp
TXN1127,CUST1896,Mr. Kenneth Randall,2025-04-20,957.29,Portable SSD
TXN1128,CUST0976,Meredith Scott,2025-02-19,792.38,Bluetooth Speaker
TXN1129,CUST1595,Paul Miller,2025-01-28,341.21,Portable SSD
TXN1130,CUST0181,Mark Lee,2025-01-08,427.05,Wireless Charger
TXN1131,CUST1434,Kathryn Moore,2025-03-11,954.73,Smartwatch
TXN1132,CUST0807,Nicole Hicks,2025-02-17,317.47,Desk Lamp
TXN1133,CUST0608,Jessica Graham,2025-02-23,234.57,Portable SSD
TXN1134,CUST0902,Katherine Taylor,2025-01-17,836.91,Tablet
TXN1135,CUST0639,Emily Smith,2025-03-30,854.06,Tablet
TXN1136,CUST0034,Michele Lyons,2025-01-22,731.8,Wireless Mouse
TXN1137,CUST1093,Anthony Walls,2025-04-03,755.64,Smartphone
TXN1138,CUST0380,Stanley Hardy,2025-02-20,115.29,Bluetooth Speaker
TXN1139,CUST0235,Michael Delacruz,2025-01-30,986.83,Desk Lamp
TXN1140,CUST0590,Lori Compton,2025-04-19,425.46,Bluetooth Speaker
TXN1141,CUST1240,Hannah Cohen,2025-04-17,166.35,Bluetooth Speaker
TXN1142,CUST1014,Marcus Lee,2025-03-20,401.64,Mechanical Keyboard
TXN1143,CUST1219,Jose Gordon,2025-03-08,732.17,Tablet
TXN1144,CUST1404,James Jones,2025-01-15,590.95,Tablet
TXN1145,CUST1225,John Russell,2025-03-24,908.04,Tablet
TXN1146,CUST1377,Logan Brewer,2025-03-07,556.34,Bluetooth Speaker
TXN1147,CUST0841,William Thompson,2025-04-22,627.4,Mechanical Keyboard
TXN1148,CUST1356,Melissa Olson,2025-03-21,338.38,Smartwatch
TXN1149,CUST1410,Mrs. Andrea Nichols MD,2025-04-13,825.08,Mouse Pad
TXN1150,CUST0367,Darren Little,2025-04-07,49.68,Smartwatch
TXN1151,CUST1880,David Holmes,2025-04-12,844.36,Tablet
TXN1152,CUST0519,Andrew Garcia MD,2025-03-04,98.42,Desk Lamp
TXN1153,CUST1275,Elizabeth Johnson,2025-02-10,73.44,Wireless Mouse
TXN1154,CUST1903,Kelsey Smith,2025-01-26,73.09,Bluetooth Speaker
TXN1155,CUST1625,Maria Morris,2025-01-10,766.74,Tablet
TXN1156,CUST1743,Hannah Morales,2025-02-10,590.71,Laptop Stand
TXN1157,CUST0986,Holly Mckinney,2025-01-23,532.81,Wireless Charger
TXN1158,CUST0855,Karen Gordon,2025-01-24,546.76,Wireless Mouse
TXN1159,CUST1893,Hannah Poole,2025-03-03,392.89,Portable SSD
TXN1160,CUST1525,Ryan Porter,2025-04-02,329.97,Portable SSD
TXN1161,CUST1740,Amanda Walker MD,2025-02-04,320.27,Smartwatch
TXN1162,CUST1081,Katherine May,2025-01-06,670.23,Mechanical Keyboard
TXN1163,CUST0089,Krystal Mason,2025-01-25,13.1,Bluetooth Speaker
TXN1164,CUST0454,Tyler Hopkins,2025-01-29,745.09,Noise Cancelling Headphones
TXN1165,CUST1922,Lisa Chambers,2025-01-31,231.08,Bluetooth Speaker
TXN1166,CUST0179,Debbie Jackson,2025-01-05,110.98,USB-C Cable
TXN1167,CUST0595,Belinda Rivera,2025-03-03,751.62,Laptop Stand
TXN1168,CUST0044,Allison Scott,2025-01-27,46.75,Mouse Pad
TXN1169,CUST0788,Lauren Ramsey,2025-04-24,243.94,Smartphone
TXN1170,CUST0671,Isaac Brown,2025-03-10,888.54,Desk Lamp
TXN1171,CUST1938,Michael Rogers,2025-02-22,268.31,Laptop Stand
TXN1172,CUST0888,Frances Krause,2025-01-19,884.38,Laptop Backpack
TXN1173,CUST1574,Mrs. Kathryn Page,2025-04-10,812.55,Webcam
TXN1174,CUST0812,Brittany Stephens,2025-01-22,253.22,Laptop Backpack
TXN1175,CUST0260,Gary Martin,2025-02-22,218.51,Portable SSD
TXN1176,CUST1199,Carlos Robertson,2025-04-14,486.25,Smartphone
TXN1177,CUST0603,Christopher Simmons,2025-01-10,903.49,Mouse Pad
TXN1178,CUST0410,Ryan Vaughn,2025-02-17,528.16,Laptop Backpack
TXN1179,CUST1389,Steven Preston,2025-04-09,567.55,Wireless Charger
TXN1180,CUST1034,Cassandra Christensen,2025-03-17,503.16,Desk Lamp
TXN1181,CUST0486,Stacey Riddle,2025-03-21,677.41,Smartphone
TXN1182,CUST1459,Joshua Jones,2025-04-24,781.05,USB-C Cable
TXN1183,CUST1777,Daniel Smith,2025-02-28,505.43,Portable SSD
TXN1184,CUST1836,James Howard,2025-03-27,665.41,Laptop Stand
TXN1185,CUST0609,Jason Olson,2025-04-26,264.6,Wireless Charger
TXN1186,CUST1382,Jose Arnold,2025-04-18,697.64,Smartphone
TXN1187,CUST0694,Brianna Smith,2025-03-04,588.31,Desk Lamp
TXN1188,CUST0405,James Mejia,2025-04-29,820.69,Wireless Charger
TXN1189,CUST0609,Ryan Riley,2025-04-27,142.46,Wireless Mouse
TXN1190,CUST0152,Michael Goodman,2025-01-31,215.39,Portable SSD
TXN1191,CUST0214,Jessica Cox,2025-04-15,500.63,Mechanical Keyboard
TXN1192,CUST0263,Cynthia Mendoza,2025-04-02,849.3,Laptop Stand
TXN1193,CUST1909,Christine Turner,2025-03-31,265.16,Laptop Stand
TXN1194,CUST0617,Mariah Lee,2025-04-19,42.11,Mechanical Keyboard
TXN1195,CUST1518,Christine Ramirez,2025-01-19,347.92,Bluetooth Speaker
TXN1196,CUST0560,Amanda Carter,2025-02-17,274.67,Wireless Mouse
TXN1197,CUST0703,Matthew Meyer,2025-04-27,270.61,Wireless Charger
TXN1198,CUST0964,Terry Johnson,2025-01-08,393.92,Wireless Mouse
TXN1199,CUST1123,Stephen Nichols,2025-03-21,727.9,Laptop Backpack
TXN1200,CUST1395,Nicole Bates,2025-02-27,921.5,Portable SSD
TXN1201,CUST1210,Shelly Rodriguez,2025-03-17,861.33,Wireless Mouse
TXN1202,CUST0718,Kim Jackson,2025-04-16,192.11,Desk Lamp
TXN1203,CUST0860,Daniel Martin,2025-02-03,614.11,Webcam
TXN1204,CUST0042,Ms. Sara Daniels,2025-01-05,969.91,Wireless Mouse
TXN1205,CUST0731,Victor Mcdonald,2025-01-23,379.38,Laptop Backpack
TXN1206,CUST1156,Holly Perez,2025-04-17,970.3,USB-C Cable
TXN1207,CUST0621,Lauren Thomas,2025-03-28,319.71,Tablet
TXN1208,CUST0840,Savannah Lewis,2025-02-21,502.97,Wireless Charger
TXN1209,CUST0584,Raymond Bell,2025-03-20,635.35,Smartwatch
TXN1210,CUST1172,Rachel Jackson,2025-04-26,748.55,Bluetooth Speaker
TXN1211,CUST0836,Beth Pratt,2025-03-05,320.04,Smartphone
TXN1212,CUST1131,Michelle Bennett,2025-03-27,761.79,Webcam
TXN1213,CUST0716,Kristi Vaughn,2025-01-09,280.97,Tablet
TXN1214,CUST1811,Jason Weber,2025-04-06,467.23,Wireless Mouse
TXN1215,CUST0613,Andrew Marsh,2025-03-20,646.68,Desk Lamp
TXN1216,CUST1179,Cody Sweeney,2025-02-14,572.13,Portable SSD
TXN1217,CUST1051,Margaret Cole,2025-04-21,447.07,Laptop Stand
